Group_name,Shmoo_type,Pad_Name_Scan_Clock_Rising,Pad_Name_Scan_Clock_Falling,Ball_Scan_Clock_Rising,Ball_Scan_Clock_Falling,SO_Groups,SI_parameter,SO_parameter,Spec_File,Body_Timing,Body_Level,Body_Pattern ( file name include .pat or .seq - support single pattern or seq only  ),Header_Timing,Header_Level,Header_Pattern ( file name include .pat or .seq - support single pattern or seq only  ),Body_Header_Pattern_directory,Step(ns),Period Start,Period End,Relay On,Relay off,Level Spec Variable Name,Level Start,Level End,Level Step,Enable(1: Timing mode / 2: Period mode / 3: Voltage mode),Prerun_Timing,Prerun_Level,Prerun_Pattern,Termination,Termination_Settings,Cycle_Shift_Start( -1 ~ -4 ),Cycle_Shift_Stop ( 1 ~ 32 )
chip_top_test_ck_0,Period,rising_PAD_TDMIN_MCLK,falling_PAD_TDMIN_MCLK,rising_TDMIN_MCLK,falling_TDMIN_MCLK,SO_chip_top_test_ck_0,Period,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,SI,rising_PAD_TDMIN_MCLK,falling_PAD_TDMIN_MCLK,rising_TDMIN_MCLK,falling_TDMIN_MCLK,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,SO,rising_PAD_TDMIN_MCLK,falling_PAD_TDMIN_MCLK,rising_TDMIN_MCLK,falling_TDMIN_MCLK,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,CLK,rising_PAD_TDMIN_BCK,falling_PAD_TDMIN_BCK,rising_TDMIN_BCK,falling_TDMIN_BCK,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,CLK,rising_PAD_TDMIN_DI,falling_PAD_TDMIN_DI,rising_TDMIN_DI,falling_TDMIN_DI,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,CLK,rising_PAD_TDMIN_LRCK,falling_PAD_TDMIN_LRCK,rising_TDMIN_LRCK,falling_TDMIN_LRCK,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
chip_top_test_ck_0,CLK,rising_PAD_TDMIN_MCLK,falling_PAD_TDMIN_MCLK,rising_TDMIN_MCLK,falling_TDMIN_MCLK,SO_chip_top_test_ck_0,drive_SI_chip_top_test_ck_0,strobe_SO_chip_top_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
infra_top_test_ck_1,Period,rising_PAD_GPIO133,falling_PAD_GPIO133,rising_GPIO133,falling_GPIO133,SO_infra_top_test_ck_1,Period,strobe_SO_infra_top_test_ck_1,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
infra_top_test_ck_1,SI,rising_PAD_GPIO133,falling_PAD_GPIO133,rising_GPIO133,falling_GPIO133,SO_infra_top_test_ck_1,drive_SI_infra_top_test_ck_1,strobe_SO_infra_top_test_ck_1,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
infra_top_test_ck_1,SO,rising_PAD_GPIO133,falling_PAD_GPIO133,rising_GPIO133,falling_GPIO133,SO_infra_top_test_ck_1,drive_SI_infra_top_test_ck_1,strobe_SO_infra_top_test_ck_1,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_A;Cat_ATPG_A_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PA_comp_capture_noram_saf_no_setup_1_20230602_v0_dummy_header.tst; ATPG_STUCK_PA_comp_chain_noram_saf_no_setup_20230602_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PA_comp_setup_noram_saf_setup_only_20230603_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
