Group_name,Shmoo_type,Pad_Name_Scan_Clock_Rising,Pad_Name_Scan_Clock_Falling,Ball_Scan_Clock_Rising,Ball_Scan_Clock_Falling,SO_Groups,SI_parameter,SO_parameter,Spec_File,Body_Timing,Body_Level,Body_Pattern ( file name include .pat or .seq - support single pattern or seq only  ),Header_Timing,Header_Level,Header_Pattern ( file name include .pat or .seq - support single pattern or seq only  ),Body_Header_Pattern_directory,Step(ns),Period Start,Period End,Relay On,Relay off,Level Spec Variable Name,Level Start,Level End,Level Step,Enable(1: Timing mode / 2: Period mode / 3: Voltage mode),Prerun_Timing,Prerun_Level,Prerun_Pattern,Termination,Termination_Settings,Cycle_Shift_Start( -1 ~ -4 ),Cycle_Shift_Stop ( 1 ~ 32 )
dramc_dual_top_par_wrap_test_ck_0,Period,rising_PAD_EINT0,falling_PAD_EINT0,rising_EINT0,falling_EINT0,SO_dramc_dual_top_par_wrap_test_ck_0,Period,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
dramc_dual_top_par_wrap_test_ck_0,SI,rising_PAD_EINT0,falling_PAD_EINT0,rising_EINT0,falling_EINT0,SO_dramc_dual_top_par_wrap_test_ck_0,drive_SI_dramc_dual_top_par_wrap_test_ck_0,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
dramc_dual_top_par_wrap_test_ck_0,SO,rising_PAD_EINT0,falling_PAD_EINT0,rising_EINT0,falling_EINT0,SO_dramc_dual_top_par_wrap_test_ck_0,drive_SI_dramc_dual_top_par_wrap_test_ck_0,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
dramc_dual_top_par_wrap_test_ck_0,CLK,rising_PAD_EINT0,falling_PAD_EINT0,rising_EINT0,falling_EINT0,SO_dramc_dual_top_par_wrap_test_ck_0,drive_SI_dramc_dual_top_par_wrap_test_ck_0,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
dramc_dual_top_par_wrap_test_ck_0,CLK,rising_PAD_PCM_CLK,falling_PAD_PCM_CLK,rising_PCM_CLK,falling_PCM_CLK,SO_dramc_dual_top_par_wrap_test_ck_0,drive_SI_dramc_dual_top_par_wrap_test_ck_0,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
dramc_dual_top_par_wrap_test_ck_0,CLK,rising_PAD_PCM_RX,falling_PAD_PCM_RX,rising_PCM_RX,falling_PCM_RX,SO_dramc_dual_top_par_wrap_test_ck_0,drive_SI_dramc_dual_top_par_wrap_test_ck_0,strobe_SO_dramc_dual_top_par_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
vdec_core0_pwr_wrap_test_ck_0,Period,rising_PAD_I2SO0_BCK,falling_PAD_I2SO0_BCK,rising_I2SO0_BCK,falling_I2SO0_BCK,SO_vdec_core0_pwr_wrap_test_ck_0,Period,strobe_SO_vdec_core0_pwr_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
vdec_core0_pwr_wrap_test_ck_0,SI,rising_PAD_I2SO0_BCK,falling_PAD_I2SO0_BCK,rising_I2SO0_BCK,falling_I2SO0_BCK,SO_vdec_core0_pwr_wrap_test_ck_0,drive_SI_vdec_core0_pwr_wrap_test_ck_0,strobe_SO_vdec_core0_pwr_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
vdec_core0_pwr_wrap_test_ck_0,SO,rising_PAD_I2SO0_BCK,falling_PAD_I2SO0_BCK,rising_I2SO0_BCK,falling_I2SO0_BCK,SO_vdec_core0_pwr_wrap_test_ck_0,drive_SI_vdec_core0_pwr_wrap_test_ck_0,strobe_SO_vdec_core0_pwr_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
vdec_core0_pwr_wrap_test_ck_0,CLK,rising_PAD_GPIO149,falling_PAD_GPIO149,rising_GPIO149,falling_GPIO149,SO_vdec_core0_pwr_wrap_test_ck_0,drive_SI_vdec_core0_pwr_wrap_test_ck_0,strobe_SO_vdec_core0_pwr_wrap_test_ck_0,ifaster_UFx_AC_spec,ifaster_UFx_ts_phs_B;Cat_ATPG_B_12p5ns_HV_,DVFS_H_HV,ATPG_STUCK_PB_comp_capture_nosetup_1_20230610_v0_dummy_header.tst; ATPG_STUCK_PB_comp_chain_nosetup_20230610_v0.tst;,,DVFS_H_HV,ATPG_STUCK_PB_comp_setup_setup_only_20230610_v0.tst;,,0.5,,,26M(K1),,,,,,1,,,,,,,
