"DTACSpecSheet,version=2.0:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1"	AC Specs																																																																																					
																																																																																						
			Selector		Cat_ATPG_A_100ns_AA_			Cat_ATPG_A_50ns_AA_			Cat_ATPG_A_40ns_AA_			Cat_ATPG_A_30ns_AA_			Cat_ATPG_A_25ns_AA_			Cat_ATPG_A_20ns_AA_			Cat_ATPG_A_15ns_AA_			Cat_ATPG_A_12p5ns_AA_			Cat_ATPG_A_10ns_AA_			Cat_ATPG_A_100ns_BB_			Cat_ATPG_A_50ns_BB_			Cat_ATPG_A_40ns_BB_			Cat_ATPG_A_30ns_BB_			Cat_ATPG_A_25ns_BB_			Cat_ATPG_A_20ns_BB_			Cat_ATPG_A_15ns_BB_			Cat_ATPG_A_12p5ns_BB_			Cat_ATPG_A_10ns_BB_			Cat_ATPG_A_100ns_CC_			Cat_ATPG_A_50ns_CC_			Cat_ATPG_A_40ns_CC_			Cat_ATPG_A_30ns_CC_			Cat_ATPG_A_25ns_CC_			Cat_ATPG_A_20ns_CC_			Cat_ATPG_A_15ns_CC_			Cat_ATPG_A_12p5ns_CC_			Cat_ATPG_A_10ns_CC_			
	Symbol	Value	Name	Val	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Typ	Min	Max	Comment
	Period	0	Sel0	Typ	1.00E-07			5.00E-08			4.00E-08			3.00E-08			2.50E-08			2.00E-08			1.50E-08			1.25E-08			1.00E-08			1.00E-07			5.00E-08			4.00E-08			3.00E-08			2.50E-08			2.00E-08			1.50E-08			1.25E-08			1.00E-08			1.00E-07			5.00E-08			4.00E-08			3.00E-08			2.50E-08			2.00E-08			1.50E-08			1.25E-08			1.00E-08			
	drive_PI	0	Sel0	Typ	0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			0.00E+00			
	strobe_PO	0	Sel0	Typ	5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			5.00E-09			
	rising_SI_chip_top_test_ck_0	0	Sel0	Typ																												2.15E-08			1.09E-08			8.76E-09			6.63E-09			5.57E-09			4.51E-09			3.43E-09			2.71E-09			2.19E-09																														
	falling_SI_chip_top_test_ck_0	0	Sel0	Typ																												2.25E-08			1.19E-08			9.76E-09			7.63E-09			6.57E-09			5.51E-09			4.43E-09			3.71E-09			3.19E-09																														
	drive_SI_chip_top_test_ck_0	0	Sel0	Typ																																																							2.15E-08	0.00E+00	4.30E-08	1.09E-08	0.00E+00	2.18E-08	8.76E-09	0.00E+00	1.75E-08	6.63E-09	0.00E+00	1.33E-08	5.57E-09	0.00E+00	1.11E-08	4.51E-09	0.00E+00	9.01E-09	3.43E-09	0.00E+00	6.85E-09	2.71E-09	0.00E+00	5.42E-09	2.19E-09	0.00E+00	4.38E-09	
	strobe_SO_chip_top_test_ck_0	0	Sel0	Typ																																																							2.27E-08	0.00E+00	4.53E-08	1.20E-08	0.00E+00	2.41E-08	9.92E-09	0.00E+00	1.98E-08	7.79E-09	0.00E+00	1.56E-08	6.73E-09	0.00E+00	1.35E-08	5.67E-09	0.00E+00	1.13E-08	5.30E-09	1.42E-09	9.17E-09	5.12E-09	2.49E-09	7.74E-09	5.33E-09	3.95E-09	6.70E-09	
	rising_DCDC_EN	0	Sel0	Typ																																																							4.25E-08			2.13E-08			1.70E-08			1.28E-08			1.06E-08			8.50E-09			6.34E-09			4.91E-09			3.87E-09			
	falling_DCDC_EN	0	Sel0	Typ																																																							8.88E-08			4.44E-08			3.55E-08			2.66E-08			2.22E-08			1.78E-08			1.33E-08			1.10E-08			8.66E-09			
